Game,Genre,Percent_Offline,Avg_Prize_Pool_per_Tournament,Offline_Earnings,Release_Date,Total_Earnings,Total_Players,Total_Tournaments
Maiden & Spell,Fighting Game,0,162.5,0,2020,325,5,2
Marvel vs. Capcom 2,Fighting Game,0.999745415765332,1354.473448276,39269.73,2000,39279.73,68,29
Marvel vs. Capcom 3,Fighting Game,1,1861.968333333,22343.62,2011,22343.62,38,12
Marvel vs. Capcom: Infinite,Fighting Game,0.999283997528349,3466.214545455,76202.12,2017,76256.72,60,22
Melty Blood: Actress Again,Fighting Game,NA,0,0,2009,0,10,2
Melty Blood: Actress Again Current Code,Fighting Game,0.786284612720909,517.4976,10172.51,2010,12937.44,73,25
Melty Blood: Type Lumina,Fighting Game,1,2774.662173913,63817.23,2021,63817.23,72,23
Mighty Fight Federation,Fighting Game,0,100,0,2021,100,3,1
Million Arthur: Arcana Blood,Fighting Game,0.99867374005305,1885,7530,2017,7540,12,4
Mordhau,Fighting Game,0,5541,0,2019,16623,40,3
Mortal Kombat 1,Fighting Game,0.840445809493399,13258.095,289710.47,2023,344710.47,129,26
Mortal Kombat 11,Fighting Game,0.849116263662208,9554.355625,519216.56,2019,611478.76,236,64
Mortal Kombat 9,Fighting Game,1,5265.064230769,136891.67,2011,136891.67,67,26
Mortal Kombat vs. DC Universe,Fighting Game,NA,0,0,2008,0,3,1
Mortal Kombat X,Fighting Game,1,9089.232580645,563532.42,2015,563532.42,100,62
Mortal Kombat XL,Fighting Game,0.962759877402537,7066.515263158,129263.79,2016,134263.79,56,19
MultiVersus,Fighting Game,0.8769641645323,11420.25,100151.5,2022,114202.5,59,10
Mystery Game Tournament,Fighting Game,1,1374.375,10995,2019,10995,56,8
Naruto Shippuden: Ultimate Ninja Storm 4,Fighting Game,0.43956043956044,910,2000,2016,4550,7,5
Naruto: Gekitou Ninja Taisen! 4,Fighting Game,0,200,0,2005,200,3,1
Ninja Legends,Fighting Game,0,1000,0,2019,1000,6,1
Nitroplus Blasterz: Heroines Infinite Duel,Fighting Game,1,498.5,1994,2015,1994,10,4
Persona 4 Arena,Fighting Game,1,576.057272727,6336.63,2012,6336.63,42,11
Persona 4 Arena Ultimax,Fighting Game,1,960.825454545,21138.16,2013,21138.16,69,22
Pocket Bravery,Fighting Game,1,452.35,452.35,2022,452.35,3,1
Pocket Rumble,Fighting Game,0,92.5,0,2016,185,5,2
Pokkén Tournament,Fighting Game,0.996827109590081,2969.871538462,76971.66,2016,77216.66,65,26
Pokkén Tournament DX,Fighting Game,0.990445370479178,790.192857143,21914,2017,22125.4,44,28
Power Instinct: Matrimelee,Fighting Game,0,45,0,2002,90,5,2
Power Rangers: Battle for the Grid,Fighting Game,0.473052340646053,534.369230769,3286.2,2019,6946.8,27,13
Power Rangers: Legacy Wars,Fighting Game,1,4178.55,4178.55,2017,4178.55,2,1
Project Justice,Fighting Game,1,165,165,2000,165,3,1
Project M,Fighting Game,1,612.812208955,205292.09,2010,205292.09,560,335
Project Plus,Fighting Game,0,97.5,0,2019,195,6,2
Punch Planet,Fighting Game,0,200,0,2017,400,6,2
Red Earth,Fighting Game,0,100,0,1996,100,3,1
Rising Thunder,Fighting Game,1,1000,1000,2015,1000,3,1
Rivals of Aether,Fighting Game,0.938723727666929,1721.452083333,38783.23,2015,41314.85,63,24
Roof Rage,Fighting Game,0,50,0,2019,50,3,1
Rushdown Revolt,Fighting Game,0,231.116111111,0,2021,4160.09,31,18
Sailor Moon S,Fighting Game,0.996952325223471,273.4325,3271.19,1995,3281.19,20,12
Samurai Shodown (2019),Fighting Game,0.99842506410934,3607.650454545,79243.31,2019,79368.31,77,22
Samurai Shodown III,Fighting Game,0,35,0,1995,70,5,2
Samurai Shodown V Special,Fighting Game,0.82989315407149,118.114,490.11,2004,590.57,15,5
Schwarzerblitz,Fighting Game,0,100,0,2020,200,5,2
Sekiro: Shadows Die Twice,Fighting Game,0,19596,0,2019,19596,20,1
Shovel Knight Showdown,Fighting Game,1,60,60,2019,60,3,1
Shrek SuperSlam,Fighting Game,0,40,0,2005,80,4,2
Skullgirls,Fighting Game,1,300,300,2012,300,3,1
Skullgirls 2nd Encore,Fighting Game,0.604282219876146,2924.586896552,51251,2015,84813.02,84,29
Skullgirls Encore,Fighting Game,1,704.261538462,9155.4,2014,9155.4,37,13
Slap City,Fighting Game,0,300,0,2018,600,5,2
SLAYERS FOR HIRE,Fighting Game,0,300,0,2020,600,8,2
Smash Remix,Fighting Game,0,299.06,0,2019,299.06,4,1
SNK Heroines: Tag Team Frenzy,Fighting Game,1,430,430,2018,430,3,1
Soul Calibur II,Fighting Game,1,622.5,4980,2003,4980,17,8
Soul Calibur II HD Online,Fighting Game,1,189.082,945.41,2013,945.41,29,5
Soul Calibur IV,Fighting Game,1,130,260,2008,260,3,2
Soul Calibur V,Fighting Game,1,2247.447857143,62928.54,2012,62928.54,76,28
Soul Calibur VI,Fighting Game,0.900499568562868,2467.045416667,159953.28,2018,177627.27,128,72
Stick Fight the Game,Fighting Game,0,350,0,2017,700,5,2
Street Fighter 6,Fighting Game,0.926826991808804,43165.805416667,4800868.03,2023,5179896.65,393,120
Street Fighter Alpha 2,Fighting Game,0.664723628368359,277.0575,2210,1996,3324.69,26,12
Street Fighter Alpha 3,Fighting Game,1,68,340,1998,340,16,5
Street Fighter EX2 Plus,Fighting Game,1,175,350,1999,350,5,2
Street Fighter III: 3rd Strike,Fighting Game,0.984981489009592,1982.605964912,111311.32,1999,113008.54,179,57
Street Fighter IV,Fighting Game,1,1162.370769231,15110.82,2009,15110.82,43,13
Street Fighter V,Fighting Game,0.97922366717833,17819.747633588,2285886.94,2016,2334386.94,281,131
Street Fighter V: Arcade Edition,Fighting Game,0.999625102096277,21593.180476190,2266433.95,2018,2267283.95,244,105
Street Fighter V: Champion Edition,Fighting Game,0.566964919342656,8104.716038961,707643.81,2020,1248126.27,264,154
Street Fighter X Tekken,Fighting Game,0.925830243123355,1115.690947368,98129.34,2012,105990.64,134,95
Super Smash Bros.,Fighting Game,0.998246054719334,609.313358779,79680.05,1999,79820.05,242,131
Super Smash Bros. Brawl,Fighting Game,1,712.933419540,248100.83,2008,248100.83,509,348
Super Smash Bros. for Wii U,Fighting Game,0.996945536584442,1464.721496139,1512816.47,2014,1517451.47,1284,1036
Super Smash Bros. Melee,Fighting Game,0.956992595536256,1537.454220685,4040278.51,2001,4221849.29,2012,2746
Super Smash Bros. Ultimate,Fighting Game,0.827455534092649,1667.547945361,2424346.86,2018,2929881.74,2419,1757
Super Street Fighter II Turbo,Fighting Game,1,513.223454545,28227.29,1994,28227.29,126,55
Super Street Fighter II Turbo HD Remix,Fighting Game,1,2462.222222222,22160,2008,22160,55,9
Super Street Fighter IV,Fighting Game,0.690631274955093,1679.405555556,20877.3,2010,30229.3,43,18
Super Street Fighter IV Arcade Edition,Fighting Game,1,1871.706555024,391186.67,2010,391186.67,195,209
Tatsunoko vs. Capcom: Ultimate All-Stars,Fighting Game,0.480131757439316,173.235,1330.81,2010,2771.76,16,16
Teenage Mutant Ninja Turtles: Tournament Fighters,Fighting Game,1,410,820,1993,820,7,2
Tekken 4,Fighting Game,1,3125,12500,2001,12500,4,4
Tekken 5,Fighting Game,1,1138.888888889,10250,2004,10250,10,9
Tekken 5: Dark Resurrection,Fighting Game,1,2436,12180,2006,12180,18,5
Tekken 6,Fighting Game,1,4091.456,122743.68,2007,122743.68,64,30
Tekken 7,Fighting Game,0.932711078314788,9182.677464789,3648598.41,2015,3911820.6,634,426
Tekken 8,Fighting Game,0.978661898708305,37666.2965,1474502.77,2024,1506651.86,208,40
Tekken Tag Tournament,Fighting Game,NA,0,0,1999,0,7,4
Tekken Tag Tournament 2,Fighting Game,1,846.437857143,118501.3,2011,118501.3,151,140
The Last Blade 2,Fighting Game,0,30,0,1998,60,4,2
The Unspoken,Fighting Game,1,9706.02,38824.08,2018,38824.08,7,4
Them's Fightin' Herds,Fighting Game,0.439168267945288,240.606333333,3170,2018,7218.19,30,30
Toribash,Fighting Game,0,100,0,2006,100,3,1
Tough Love Arena,Fighting Game,0,100,0,2021,100,3,1
Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe,Fighting Game,0.0488723808846789,750.253333333,220,2009,4501.52,18,6
TowerFall: Ascension,Fighting Game,NA,,0,2013,0,0,0
Ultimate Marvel vs. Capcom 3,Fighting Game,0.988604617814785,942.854898990,184557.92,2011,186685.27,223,198
Ultimate Mortal Kombat 3,Fighting Game,1,75,150,1995,150,6,2
Ultra Fight Da! Kyanta 2,Fighting Game,1,320,320,2019,320,3,1
Ultra Street Fighter IV,Fighting Game,0.99995112382337,3512.423261803,818354.62,2014,818394.62,242,233
Umineko: Golden Fantasia,Fighting Game,0.473684210526316,63.333333333,90,2010,190,9,3
Under Night In-Birth EXE: Late,Fighting Game,1,261.989565217,6025.76,2014,6025.76,52,23
Under Night In-Birth EXE: Late[cl-r],Fighting Game,0.939224146666525,1036.201,9732.25,2020,10362.01,40,10
Under Night In-Birth EXE: Late[st],Fighting Game,1,1364.58325,54583.33,2015,54583.33,109,40
Under Night In-Birth II [Sys:Celes],Fighting Game,1,5100.724,76510.86,2024,76510.86,66,15
Vampire Savior,Fighting Game,0.939849667424831,762.8952,17925.17,1997,19072.38,44,25
Virtua Fighter 4: Evolution,Fighting Game,NA,0,0,2002,0,6,3
Virtua Fighter 5,Fighting Game,1,5690,39830,2007,39830,14,7
Virtua Fighter 5 Final Showdown,Fighting Game,1,95.628333333,573.77,2010,573.77,28,6
Virtua Fighter 5: Ultimate Showdown,Fighting Game,0.941417691857059,4267.5,16070,2021,17070,22,4
Windjammers 2,Fighting Game,1,18.858392857,1056.07,2022,1056.07,3,56
WWE 2K20,Fighting Game,0,25000,0,2019,50000,20,2
Asphalt 4,Racing,1,14750,29500,2008,29500,5,2
Asphalt 9: Legends,Racing,1,25760,51520,2018,51520,5,2
Assetto Corsa,Racing,0.685467112702668,7480.312213740,671703.55,2014,979920.9,302,131
Assetto Corsa Competizione,Racing,0.606991480949132,8771.93890625,340767.5,2018,561404.09,511,64
Dirt Rally 2.0,Racing,0.333333333333333,7500,10000,2019,30000,9,4
Epic Roller Coasters VR,Racing,0,1000,0,2018,1000,3,1
F1 2018,Racing,1,200000,200000,2018,200000,21,1
F1 2019,Racing,1,269023.69,538047.38,2019,538047.38,25,2
F1 2020,Racing,0,250745,0,2020,752235,42,3
F1 2021,Racing,0,191484.75,0,2021,765939,35,4
F1 22,Racing,0,375162,0,2022,750324,25,2
Forza Horizon 5,Racing,0.02,2272.727272727,500,2021,25000,24,11
Forza Motorsport (2023),Racing,0.0828451882845188,11950,4950,2023,59750,93,5
Forza Motorsport 2,Racing,1,111000,222000,2007,222000,17,2
Forza Motorsport 3,Racing,1,5500,11000,2009,11000,3,2
Forza Motorsport 4,Racing,1,132.37,132.37,2011,132.37,2,1
Forza Motorsport 6,Racing,0.986095017381228,19177.777777778,170200,2015,172600,43,9
Forza Motorsport 7,Racing,0.7312210751157,64823.076923077,616200,2017,842700,140,13
Gran Turismo 3: A-Spec,Racing,1,1625,3250,2001,3250,4,2
Gran Turismo 4,Racing,1,22000,44000,2004,44000,5,2
Gran Turismo Sport,Racing,0.447169298546744,2460.9024,27511,2017,61522.56,126,25
GRID (2019),Racing,1,218.75,218.75,2019,218.75,3,1
Hot Lap League,Racing,NA,,0,2021,0,0,0
iRacing.com,Racing,0.249915656332713,19880.084814815,939017.1,2008,3757336.03,1302,189
Jak 3,Racing,NA,,0,2004,0,0,0
Jak and Daxter: The Precursur Legacy,Racing,0,500,0,2001,500,4,1
Jak II,Racing,NA,0,0,2003,0,14,1
KartRider,Racing,1,28368.3175,567366.35,2004,567366.35,76,20
Live for Speed,Racing,0.779094982396895,1183.314,9219.14,2003,11833.14,24,10
Mad Skills Motocross 2,Racing,1,26721,80163,2017,80163,23,3
Marbles on Stream,Racing,NA,,0,2018,0,0,0
Mario Kart 8 Deluxe,Racing,0.34149650208401,1465.444,5004.44,2017,14654.44,55,10
NASCAR Heat 4,Racing,0,40100,0,2019,200500,34,5
Nascar Heat 5,Racing,0.408163265306122,3062.5,2500,2020,6125,20,2
NASCAR Thunder 2002,Racing,1,7679.25,7679.25,2001,7679.25,0,1
NASCAR Thunder 2003,Racing,1,5933.5,5933.5,2002,5933.5,0,1
Need for Speed Carbon,Racing,1,9080.645,36322.58,2006,36322.58,12,4
Need for Speed: Most Wanted,Racing,1,5099.22,35694.54,2005,35694.54,18,7
Need for Speed: ProStreet,Racing,1,10736.153333333,32208.46,2007,32208.46,12,3
Need for Speed: Shift,Racing,1,10500,10500,2009,10500,3,1
Need for Speed: Underground,Racing,1,35000,35000,2003,35000,3,1
Need for Speed: Underground 2,Racing,1,11876.493333333,35629.48,2004,35629.48,8,3
Project Cars,Racing,0.153762275540891,542.954409449,10602.71,2015,68955.21,53,127
Project Cars 2,Racing,0.879062736205593,3006.818181818,58150,2017,66150,37,22
Project Gotham Racing 2,Racing,1,17500,35000,2003,35000,4,2
Project Gotham Racing 3,Racing,1,29728.685,297286.85,2005,297286.85,33,10
Project Gotham Racing 4,Racing,1,6302.115,25208.46,2007,25208.46,5,4
RaceRoom Racing Experience,Racing,0.295816027724794,9970.446428571,82583.7,2013,279172.5,168,28
Rennsport,Racing,0.987278623802419,236867.28,2104686.02,2022,2131805.52,65,9
rFactor,Racing,0,3770.89,0,2005,15083.56,51,4
rFactor 2,Racing,0.654243724553406,21553.04,1452396.94,2013,2219963.12,557,103
Speedrunners,Racing,0,75,0,2016,150,5,2
Sprint Vector,Racing,1,11750,11750,2018,11750,8,1
Trackmania (2020),Racing,0.361915800449802,1093.451394472,315006.92,2020,870387.31,830,796
TrackMania 2: Canyon,Racing,0.770073485007274,617.778205128,18553.65,2011,24093.35,26,39
TrackMania 2: Stadium,Racing,0.545322096148225,701.272272727,109371.91,2013,200563.87,345,286
Trackmania 2: Valley,Racing,1,389.67,779.34,2013,779.34,6,2
TrackMania Nations,Racing,0.60659830418161,6271.308333333,68474.97,2006,112883.55,43,18
TrackMania Nations Forever,Racing,0.857327404975694,2301.485813953,169688.91,2008,197927.78,143,86
Trackmania Turbo,Racing,0,339.705,0,2016,679.41,6,2
Trackmania United,Racing,1,1027.5,1027.5,2006,1027.5,3,1
Trackmania United Forever,Racing,0,2301.775,0,2008,4603.55,25,2
Trials Fusion,Racing,NA,,0,2014,0,0,0
Turbo Racing League,Racing,0.5,111111.111111111,500000,2013,1000000,16,9
Void Racer,Racing,0,460,0,2020,460,4,1
WRC 10 FIA World Rally Championship,Racing,1,25250,25250,2021,25250,1,1
Carom 3D,Sports,1,15125,60500,1999,60500,11,4
Dream league Soccer,Sports,NA,,0,2019,0,0,0
EA Sports FC 24,Sports,0.944753190614296,96795.149210526,6950011.98,2023,7356431.34,348,76
EA Sports FC Online,Sports,0.89576387339691,64879.617272727,639284.99,2023,713675.79,96,11
Echo Arena,Sports,0.874207876104514,8806.014545455,169362.32,2017,193732.32,126,22
eFootball,Sports,0.0508130081300813,35142.857142857,25000,2021,492000,62,14
Eleven Table Tennis,Sports,NA,,0,2016,0,0,0
FIFA 03,Sports,1,18022.146666667,54066.44,2002,54066.44,10,3
FIFA 04,Sports,1,13333.333333333,40000,2003,40000,3,3
FIFA 05,Sports,1,7216.00125,57728.01,2004,57728.01,5,8
FIFA 06,Sports,1,9372.044166667,112464.53,2005,112464.53,23,12
FIFA 07,Sports,1,17022.302142857,238312.23,2006,238312.23,43,14
FIFA 08,Sports,1,12184.114117647,207129.94,2007,207129.94,68,17
FIFA 09,Sports,0.948223927410948,6400.965263158,115321.42,2008,121618.34,52,19
FIFA 10,Sports,0.77031311911614,2438.056458333,90147.21,2009,117026.71,64,48
FIFA 11,Sports,0.906050268040961,1204.920128205,85154.02,2010,93983.77,72,78
FIFA 12,Sports,0.876542165646612,864.649552239,50779.42,2011,57931.52,59,67
FIFA 13,Sports,0.977679735928766,7393.997096774,448195.59,2012,458427.82,53,62
FIFA 14,Sports,0.906896378859052,1396.345072464,87377.48,2013,96347.81,57,69
FIFA 15,Sports,0.806510577147587,410.153380682,116439.15,2014,144373.99,167,352
FIFA 16,Sports,0.992025699650537,4082.814137931,117457.44,2015,118401.61,62,29
FIFA 17,Sports,1,30363.450612245,1487809.08,2016,1487809.08,135,49
FIFA 18,Sports,0.994434963130575,46535.368541667,2221267.08,2017,2233697.69,235,48
FIFA 19,Sports,0.976626876308981,62031.826226415,3210843.28,2018,3287686.79,331,53
FIFA 20,Sports,0.439136320026899,38785.724776119,1141158.77,2019,2598643.56,363,67
FIFA 2000,Sports,1,50000,50000,1999,50000,4,1
FIFA 2001,Sports,1,23000,46000,2000,46000,9,2
FIFA 2002 World Cup,Sports,1,43000,43000,2002,43000,8,1
FIFA 21,Sports,0.323386276649452,77594.411639344,1530671.04,2020,4733259.11,417,61
FIFA 22,Sports,0.736856418943812,61008.987066667,3371614.78,2021,4575674.03,422,75
FIFA 23,Sports,0.822559551731537,62596.183434343,5097419.77,2022,6197022.16,527,99
FIFA Online 3,Sports,1,77501.714,1937542.85,2012,1937542.85,124,25
FIFA Online 4,Sports,0.606657991427282,61007.736268657,2479725.66,2018,4087518.33,427,67
GOALS,Sports,0,1841.26,0,2025,1841.26,4,1
GOLF Plus,Sports,1,5000,5000,2020,5000,4,1
Golf With Your Friends,Sports,0,9700,0,2016,19400,11,2
Gran Turismo 7,Sports,0,5310.7125,0,2022,21242.85,13,4
Gym Masters VR,Sports,0,500,0,2021,500,4,1
Just Hoops,Sports,NA,,0,2021,0,0,0
Madden NFL 06,Sports,1,100000,100000,2005,100000,1,1
Madden NFL 07,Sports,1,100000,100000,2006,100000,1,1
Madden NFL 08,Sports,1,100000,100000,2007,100000,1,1
Madden NFL 09,Sports,1,100000,100000,2008,100000,1,1
Madden NFL 13,Sports,1,400000,400000,2012,400000,8,1
Madden NFL 16,Sports,1,50000,50000,2015,50000,8,1
Madden NFL 17,Sports,1,200800,1004000,2016,1004000,42,5
Madden NFL 18,Sports,0.0488028345769941,141225.54,20676.62,2017,423676.62,40,3
Madden NFL 19,Sports,1,253998.4,1269992,2018,1269992,45,5
Madden NFL 20,Sports,0.761646803900325,461500,703000,2019,923000,38,2
Madden NFL 2004,Sports,1,1500,1500,2003,1500,3,1
Madden NFL 21,Sports,0.2578125,213333.333333333,330000,2020,1280000,66,6
Madden NFL 22,Sports,0.606060606060606,412500,1000000,2021,1650000,37,4
Madden NFL 23,Sports,0.741176470588235,425000,1260000,2022,1700000,37,4
Madden NFL 24,Sports,1,283333.333333333,1700000,2023,1700000,86,6
Madden NFL 25,Sports,1,100000,100000,2024,100000,8,1
Mario Tennis Aces,Sports,0,30.65,0,2018,61.3,6,2
NBA 2K Online,Sports,NA,,0,2012,0,0,0
NBA 2K Online 2,Sports,NA,,0,2018,0,0,0
NBA 2K18,Sports,1,250000,1000000,2017,1000000,91,4
NBA 2K19,Sports,1,332500,1330000,2018,1330000,78,4
NBA 2K20,Sports,0,250000,0,2019,250000,1,1
NBA 2K21,Sports,0.811724305355652,443500.333333333,1080000,2020,1330501,64,3
NBA 2K22,Sports,0.811320754716981,378571.428571429,2150000,2021,2650000,92,7
NBA 2K23,Sports,0.829059829059829,325000,2425000,2022,2925000,105,9
NHL '94,Sports,1,477.32,3818.56,1993,3818.56,16,8
NHL 12,Sports,1,351.465,702.93,2011,702.93,6,2
NHL 13,Sports,1,70000,70000,2012,70000,1,1
NHL 14,Sports,1,1007.986666667,3023.96,2013,3023.96,6,3
NHL 15,Sports,1,1052.386666667,3157.16,2014,3157.16,3,3
NHL 17,Sports,NA,,0,2016,0,0,0
NHL 18,Sports,0.876338851022395,17116.666666667,90000,2017,102700,20,6
NHL 19,Sports,0.867060580936399,2820.83375,19566.67,2018,22566.67,10,8
NHL 23,Sports,1,26312.5,105250,2022,105250,12,4
Nock,Sports,0,2025,0,2022,4050,12,2
Pro Evolution Soccer 2008,Sports,1,694.716666667,2084.15,2007,2084.15,6,3
Pro Evolution Soccer 2009,Sports,0,697.985,0,2008,1395.97,5,2
Pro Evolution Soccer 2013,Sports,NA,,0,2012,0,0,0
Pro Evolution Soccer 2014,Sports,1,29410.25,29410.25,2013,29410.25,4,1
Pro Evolution Soccer 2015,Sports,1,26544.76,26544.76,2014,26544.76,3,1
Pro Evolution Soccer 2016,Sports,1,4540.64,27243.84,2015,27243.84,17,6
Pro Evolution Soccer 2017,Sports,1,32168.606875,514697.71,2016,514697.71,39,16
Pro Evolution Soccer 2018,Sports,1,83333.333333333,250000,2017,250000,20,3
Pro Evolution Soccer 2019,Sports,1,108000,216000,2019,216000,25,2
Pro Evolution Soccer 3,Sports,1,12500,25000,2003,25000,8,2
Pro Evolution Soccer 4,Sports,1,20275.32,40550.64,2004,40550.64,11,2
Pro Evolution Soccer 5,Sports,1,32000,32000,2005,32000,4,1
Pro Evolution Soccer 6,Sports,1,10108.41,20216.82,2006,20216.82,5,2
Racket: NX,Sports,0,500,0,2018,500,3,1
Ragnaröck,Sports,NA,,0,2021,0,0,0
Rezzil Player,Sports,0,5137.5,0,2021,61650,19,12
Rocket League,Sports,0.421574700848859,9304.821045795,17816799.61,2015,42262497.19,6884,4542
Rocket League Sideswipe,Sports,0,15875,0,2021,63500,32,4
Roller Champions,Sports,0.0122965938435053,449.418421053,105,2022,8538.95,60,19
Slapshot Rebound,Sports,0,127.654,0,2020,638.27,23,5
Soccer Stars,Sports,NA,,0,2018,0,0,0
SuperPlayer,Sports,0,1000,0,2022,1000,3,1
Walkabout Mini Golf,Sports,0,1000,0,2021,2000,7,2
Zwift,Sports,0,9338.68,0,2015,65370.76,10,7
Artifact Classic,Collectible Card Game,0.0965088698208784,627.954479167,11635.81,2018,120567.26,286,192
Artifact Foundry,Collectible Card Game,0,97.875,0,2020,1174.5,21,12
Faeria,Collectible Card Game,0,820,0,2017,4100,12,5
Gwent,Collectible Card Game,0.501988168101592,12337.681721311,755591.17,2016,1505197.17,344,122
Hand of the Gods,Collectible Card Game,0.767730334984571,2623.172222222,72500,2017,94434.2,48,36
Hearthstone,Collectible Card Game,0.596412961018593,26427.499698795,18315099.29,2014,30708754.65,3147,1162
Hearthstone Battlegrounds,Collectible Card Game,0.227597453246678,34423.128039216,399565.43,2019,1755579.53,271,51
"KARDS, The World War II Card Game",Collectible Card Game,NA,,0,2019,0,0,0
Legends of Runeterra,Collectible Card Game,0,21760.334242424,0,2020,718091.03,284,33
Magic: The Gathering Arena,Collectible Card Game,0.482271046334566,153233.333333333,4434000,2018,9194000,336,60
Magic: The Gathering Online,Collectible Card Game,0.66996699669967,113625,1218000,2002,1818000,173,16
Mythgard,Collectible Card Game,0,1000,0,2019,3000,9,3
Pokémon TCG,Collectible Card Game,NA,,0,1996,0,0,0
Shadowverse,Collectible Card Game,0.975528609670357,125192.574772727,5373673.29,2016,5508473.29,248,44
Shardbound,Collectible Card Game,NA,,0,2017,0,0,0
The Elder Scrolls: Legends,Collectible Card Game,1,5000,5000,2017,5000,3,1
Yu-Gi-Oh! Duel Links,Collectible Card Game,0,222.587762557,0,2016,48746.72,328,219
Catherine,Puzzle Game,0.951456310679612,220.714285714,1470,2011,1545,11,7
Catherine: Full Body,Puzzle Game,1,185,185,2019,185,3,1
Cultris II,Puzzle Game,0,190.95,0,2011,190.95,3,1
Jstris,Puzzle Game,0,137.5,0,2014,275,12,2
Magical Drop III,Puzzle Game,1,130,130,1997,130,3,1
Microsoft Excel,Puzzle Game,0.572552447552448,2660.465116279,65500,1985,114400,86,43
Pac-man,Puzzle Game,NA,,0,1981,0,0,0
Panel Attack,Puzzle Game,0,70,0,2020,140,5,2
Puyo Puyo Champions,Puzzle Game,0.834629174555856,496.46,2071.8,2019,2482.3,14,5
Puyo Puyo Tetris,Puzzle Game,0.472633836229564,213.9275,1617.75,2014,3422.84,31,16
Puyo Puyo Tetris 2,Puzzle Game,0.941943677409835,632.546666667,1787.47,2020,1897.64,14,3
Tetr.io,Puzzle Game,0.274604108394881,1038.794444444,5134.63,2020,18698.3,39,18
Tetris,Puzzle Game,0.410940516668127,2531.104426230,126896.27,1989,308794.74,180,122
Tetris Effect: Connected,Puzzle Game,0.230129888602483,1048.170909091,2653.37,2020,11529.88,35,11
Tetris Ultimate,Puzzle Game,1,221,221,2014,221,3,1
Twinkle Star Sprites,Puzzle Game,0,75,0,1996,150,4,2
Wise Star 2,Puzzle Game,1,12000,12000,2008,12000,3,1
Apex Legends,Battle Royale,0.511458648307489,35777.342010944,13376299.25,2019,26153237.01,2317,731
Apex Legends Mobile,Battle Royale,NA,,0,2022,0,0,0
Ark: Survival Of The Fittest,Battle Royale,NA,,0,2017,0,0,0
Fall Guys,Battle Royale,0,48610.547142857,0,2020,340273.83,250,7
Farlight 84,Battle Royale,NA,,0,2023,0,0,0
Fortnite,Battle Royale,0.294744197407371,83375.250410301,56299884.57,2017,191012698.69,9535,2291
Free Fire,Battle Royale,0.767115392433413,190968.338315789,13917001.42,2017,18141992.14,1706,95
H1Z1,Battle Royale,1,159009.384615385,2067122,2016,2067122,119,13
Penguin Paradise,Battle Royale,NA,,0,2022,0,0,0
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,Battle Royale,0.694719990809399,256079.046392962,60665002.37,2017,87322954.82,4263,341
PLAYERUNKNOWN’S BATTLEGROUNDS,Battle Royale,0.769002846925364,101743.978114105,49370328.97,2017,64200450.19,3967,631
Radical Heights,Battle Royale,0,60000,0,2018,120000,12,2
Ring of Elysium,Battle Royale,0,17500,0,2018,70000,9,4
Rocket Arena,Battle Royale,0,33333.333333333,0,2020,100000,24,3
Rules Of Survival,Battle Royale,0.725609756097561,164000,476000,2017,656000,0,4
Spellbreak,Battle Royale,0,50000,0,2020,50000,42,1
Super People,Battle Royale,0,13138.727272727,0,2022,144526,95,11
Gears 5,Third-Person Shooter,0.292987263671303,20722.5,680000,2019,2320920,163,112
Gears of War,Third-Person Shooter,1,14010.865,252195.57,2006,252195.57,33,18
Gears of War 2,Third-Person Shooter,1,27000,135000,2008,135000,0,5
Gears of War 3,Third-Person Shooter,0.627884412629327,1813.9525,4555.81,2011,7255.81,13,4
Gears of War 4,Third-Person Shooter,0.972067767919218,20676.217105263,3055000,2016,3142785,155,152
Gears of War: Ultimate Edition,Third-Person Shooter,1,56666.666666667,170000,2015,170000,39,3
Knockout City,Third-Person Shooter,NA,,0,2021,0,0,0
Mobile Suit Gundam: Extreme Vs Maxi Boost ON,Third-Person Shooter,0.761904761904762,210,320,2016,420,12,2
PARAVOX,Third-Person Shooter,NA,,0,2024,0,0,0
Rogue Company,Third-Person Shooter,0,25000,0,2020,50000,48,2
The Division 2,Third-Person Shooter,0,13625,0,2019,27250,40,2
Audio Trip,Music / Rhythm Game,0,325,0,2020,650,4,2
Beat Saber,Music / Rhythm Game,0,1517.46,0,2019,16692.06,63,11
Groove Gunner,Music / Rhythm Game,NA,,0,2020,0,0,0
Guitar Hero 5,Music / Rhythm Game,1,10500,10500,2009,10500,3,1
Guitar Hero III: Legends of Rock,Music / Rhythm Game,1,9500,19000,2007,19000,8,2
Guitar Hero: World Tour,Music / Rhythm Game,NA,,0,2008,0,0,0
Just Dance 2014,Music / Rhythm Game,NA,0,0,2013,0,3,1
osu!,Music / Rhythm Game,0.119185496388213,1092.003306773,32667.89,2007,274092.83,1059,251
Synth Riders,Music / Rhythm Game,0.285714285714286,300,600,2018,2100,11,7
